deviceId,bucket,lat,long,pm1_0,pm2_5,pm10,n_readings
00000000078e6811,2021-01-10 02:00:00+05:30,28.579571,77.23414199999999,66.0,131.5,172.5,2
00000000078e6811,2021-01-10 02:15:00+05:30,28.579508,77.234352,65.0,125.0,152.0,296
00000000078e6811,2021-01-10 02:30:00+05:30,28.579464,77.228737,65.0,121.0,145.0,299
00000000078e6811,2021-01-10 02:45:00+05:30,28.57946,77.226387,62.0,114.0,136.0,303
00000000078e6811,2021-01-10 03:00:00+05:30,28.579344600000002,77.22670853333332,62.0,113.0,136.0,292
00000000078e6811,2021-01-10 03:30:00+05:30,28.579277,77.23304,65.0,119.0,145.0,137
00000000078e6811,2021-01-10 03:45:00+05:30,28.5794175,77.22708100000001,61.0,113.0,132.0,13
00000000078e6811,2021-01-10 04:00:00+05:30,28.579489,77.22542440000002,58.0,111.0,135.0,69
00000000078e6811,2021-01-10 04:15:00+05:30,28.579457300000005,77.22546590909091,59.0,108.0,130.0,303
00000000078e6811,2021-01-10 04:30:00+05:30,28.569754500000002,77.2294678,60.0,109.0,131.0,280
00000000078e6811,2021-01-10 04:45:00+05:30,28.52506838461538,77.29216584615385,63.0,113.0,134.0,292
00000000078e6811,2021-01-10 05:00:00+05:30,28.491373000000003,77.3038139,63.0,115.0,139.0,302
00000000078e6811,2021-01-10 05:15:00+05:30,28.549622,77.27434266666667,56.0,101.0,123.0,291
00000000078e6811,2021-01-10 05:30:00+05:30,28.56904925,77.21251249999999,55.0,101.0,124.0,290
00000000078e6811,2021-01-10 05:45:00+05:30,28.60798225,77.1408065,54.0,96.0,115.0,292
00000000078e6811,2021-01-10 06:00:00+05:30,28.6590738,77.12913900000001,60.0,111.0,137.0,188
00000000078e6811,2021-01-10 11:15:00+05:30,28.5515425,77.27394850000002,57.0,94.0,106.5,66
00000000078e6811,2021-01-10 11:30:00+05:30,28.517366,77.296059,59.0,96.0,112.0,297
00000000078e6811,2021-01-10 11:45:00+05:30,28.491655,77.303944375,65.0,109.0,129.0,301
00000000078e6811,2021-01-10 12:00:00+05:30,28.4931525,77.303658,61.0,99.0,116.0,120
00000000078e6811,2021-01-10 13:15:00+05:30,28.568542,77.222466,56.0,95.0,109.0,93
00000000078e6811,2021-01-10 13:30:00+05:30,28.57321425,77.1790545,51.0,84.5,97.0,288
00000000078e6811,2021-01-10 13:45:00+05:30,28.627218,77.13346899999998,52.0,87.0,100.0,289
