h3,ts,pm25,source,confidence,n_sensors
883da11421fffff,2021-01-10 00:00:00+05:30,136.9,sensor,High,4
883da11423fffff,2021-01-10 00:00:00+05:30,136.9,sensor,High,4
883da11425fffff,2021-01-10 00:00:00+05:30,136.8,sensor,High,4
883da11435fffff,2021-01-10 00:00:00+05:30,136.9,sensor,High,4
883da11503fffff,2021-01-10 00:00:00+05:30,137.5,sensor,High,3
883da11511fffff,2021-01-10 00:00:00+05:30,136.6,sensor,High,4
883da11513fffff,2021-01-10 00:00:00+05:30,136.0,sensor,High,4
883da11515fffff,2021-01-10 00:00:00+05:30,136.7,sensor,High,4
883da11519fffff,2021-01-10 00:00:00+05:30,136.8,sensor,High,4
883da1151bfffff,2021-01-10 00:00:00+05:30,136.7,sensor,High,4
883da11539fffff,2021-01-10 00:00:00+05:30,137.5,sensor,High,3
883da1153bfffff,2021-01-10 00:00:00+05:30,136.8,sensor,High,4
883da11553fffff,2021-01-10 00:00:00+05:30,134.3,sensor,High,2
883da11581fffff,2021-01-10 00:00:00+05:30,138.8,sensor,High,2
883da11585fffff,2021-01-10 00:00:00+05:30,137.2,sensor,High,3
883da11589fffff,2021-01-10 00:00:00+05:30,136.8,sensor,High,4
883da1158bfffff,2021-01-10 00:00:00+05:30,134.0,sensor,Medium,1
883da1158dfffff,2021-01-10 00:00:00+05:30,136.8,sensor,High,4
883da115a9fffff,2021-01-10 00:00:00+05:30,137.2,sensor,High,3
883da115c1fffff,2021-01-10 00:00:00+05:30,136.9,sensor,High,4
883da115c5fffff,2021-01-10 00:00:00+05:30,136.2,sensor,High,4
883da115c7fffff,2021-01-10 00:00:00+05:30,136.7,sensor,High,4
883da115c9fffff,2021-01-10 00:00:00+05:30,136.9,sensor,High,4
883da115cbfffff,2021-01-10 00:00:00+05:30,136.9,sensor,High,4
883da115cdfffff,2021-01-10 00:00:00+05:30,137.0,sensor,High,4
883da115d5fffff,2021-01-10 00:00:00+05:30,134.0,sensor,Medium,1
883da115ddfffff,2021-01-10 00:00:00+05:30,134.0,sensor,Medium,1
883da115e1fffff,2021-01-10 00:00:00+05:30,137.0,sensor,High,4
883da115e3fffff,2021-01-10 00:00:00+05:30,136.8,sensor,High,4
883da115e7fffff,2021-01-10 00:00:00+05:30,136.9,sensor,High,4
883da115e9fffff,2021-01-10 00:00:00+05:30,137.5,sensor,High,4
883da115ebfffff,2021-01-10 00:00:00+05:30,136.6,sensor,High,4
883da115edfffff,2021-01-10 00:00:00+05:30,136.9,sensor,High,4
883da11421fffff,2021-01-10 00:15:00+05:30,127.2,sensor,High,3
883da11423fffff,2021-01-10 00:15:00+05:30,118.1,sensor,High,4
883da11425fffff,2021-01-10 00:15:00+05:30,119.7,sensor,High,4
883da11435fffff,2021-01-10 00:15:00+05:30,117.1,sensor,High,4
883da11503fffff,2021-01-10 00:15:00+05:30,127.0,sensor,High,3
883da11511fffff,2021-01-10 00:15:00+05:30,121.5,sensor,High,4
883da11513fffff,2021-01-10 00:15:00+05:30,123.7,sensor,High,4
883da11515fffff,2021-01-10 00:15:00+05:30,120.7,sensor,High,4
883da11519fffff,2021-01-10 00:15:00+05:30,120.4,sensor,High,4
883da1151bfffff,2021-01-10 00:15:00+05:30,120.9,sensor,High,4
883da11539fffff,2021-01-10 00:15:00+05:30,127.0,sensor,High,3
883da1153bfffff,2021-01-10 00:15:00+05:30,120.2,sensor,High,4
883da11553fffff,2021-01-10 00:15:00+05:30,123.1,sensor,High,2
883da11581fffff,2021-01-10 00:15:00+05:30,108.6,sensor,High,2
883da11585fffff,2021-01-10 00:15:00+05:30,114.7,sensor,High,4
883da11589fffff,2021-01-10 00:15:00+05:30,113.8,sensor,High,4
883da1158bfffff,2021-01-10 00:15:00+05:30,89.0,sensor,Medium,1
883da1158dfffff,2021-01-10 00:15:00+05:30,112.8,sensor,High,4
883da115a9fffff,2021-01-10 00:15:00+05:30,112.8,sensor,High,3
883da115c1fffff,2021-01-10 00:15:00+05:30,114.2,sensor,High,4
883da115c5fffff,2021-01-10 00:15:00+05:30,104.5,sensor,High,4
883da115c7fffff,2021-01-10 00:15:00+05:30,110.6,sensor,High,4
883da115c9fffff,2021-01-10 00:15:00+05:30,117.3,sensor,High,4
883da115cbfffff,2021-01-10 00:15:00+05:30,115.8,sensor,High,4
883da115cdfffff,2021-01-10 00:15:00+05:30,119.1,sensor,High,4
883da115d5fffff,2021-01-10 00:15:00+05:30,89.0,sensor,Medium,1
883da115ddfffff,2021-01-10 00:15:00+05:30,89.0,sensor,Medium,1
883da115e1fffff,2021-01-10 00:15:00+05:30,116.2,sensor,High,4
883da115e3fffff,2021-01-10 00:15:00+05:30,114.2,sensor,High,4
883da115e7fffff,2021-01-10 00:15:00+05:30,116.3,sensor,High,4
883da115e9fffff,2021-01-10 00:15:00+05:30,121.1,sensor,High,4
883da115ebfffff,2021-01-10 00:15:00+05:30,108.7,sensor,High,4
883da115edfffff,2021-01-10 00:15:00+05:30,119.7,sensor,High,4
883da11421fffff,2021-01-10 00:30:00+05:30,108.1,sensor,High,3
883da11423fffff,2021-01-10 00:30:00+05:30,108.7,sensor,High,3
883da11425fffff,2021-01-10 00:30:00+05:30,107.2,sensor,High,3
883da11435fffff,2021-01-10 00:30:00+05:30,109.4,sensor,High,3
883da11503fffff,2021-01-10 00:30:00+05:30,107.1,sensor,High,3
883da11511fffff,2021-01-10 00:30:00+05:30,104.5,sensor,High,3
883da11513fffff,2021-01-10 00:30:00+05:30,96.3,sensor,High,3
883da11515fffff,2021-01-10 00:30:00+05:30,106.3,sensor,High,3
883da11519fffff,2021-01-10 00:30:00+05:30,106.3,sensor,High,3
883da1151bfffff,2021-01-10 00:30:00+05:30,105.8,sensor,High,3
883da11539fffff,2021-01-10 00:30:00+05:30,107.4,sensor,High,3
883da1153bfffff,2021-01-10 00:30:00+05:30,107.4,sensor,High,3
883da11553fffff,2021-01-10 00:30:00+05:30,98.9,sensor,High,2
883da11581fffff,2021-01-10 00:30:00+05:30,127.0,sensor,Medium,1
883da11585fffff,2021-01-10 00:30:00+05:30,123.7,sensor,High,2
883da11589fffff,2021-01-10 00:30:00+05:30,111.0,sensor,High,3
883da1158dfffff,2021-01-10 00:30:00+05:30,111.5,sensor,High,3
883da115a9fffff,2021-01-10 00:30:00+05:30,123.7,sensor,High,2
883da115c1fffff,2021-01-10 00:30:00+05:30,111.1,sensor,High,3
883da115c5fffff,2021-01-10 00:30:00+05:30,115.3,sensor,High,3
883da115c7fffff,2021-01-10 00:30:00+05:30,112.1,sensor,High,3
883da115c9fffff,2021-01-10 00:30:00+05:30,109.4,sensor,High,3
883da115cbfffff,2021-01-10 00:30:00+05:30,110.1,sensor,High,3
883da115cdfffff,2021-01-10 00:30:00+05:30,108.9,sensor,High,3
883da115e1fffff,2021-01-10 00:30:00+05:30,111.2,sensor,High,3
883da115e3fffff,2021-01-10 00:30:00+05:30,111.3,sensor,High,3
883da115e7fffff,2021-01-10 00:30:00+05:30,110.5,sensor,High,3
883da115e9fffff,2021-01-10 00:30:00+05:30,113.2,sensor,High,3
883da115ebfffff,2021-01-10 00:30:00+05:30,113.2,sensor,High,3
883da115edfffff,2021-01-10 00:30:00+05:30,108.9,sensor,High,3
883da11421fffff,2021-01-10 00:45:00+05:30,116.8,sensor,High,4
883da11423fffff,2021-01-10 00:45:00+05:30,118.3,sensor,High,4
883da11425fffff,2021-01-10 00:45:00+05:30,114.9,sensor,High,4
883da11435fffff,2021-01-10 00:45:00+05:30,119.9,sensor,High,4
883da11503fffff,2021-01-10 00:45:00+05:30,107.4,sensor,High,3
883da11511fffff,2021-01-10 00:45:00+05:30,109.6,sensor,High,4
883da11513fffff,2021-01-10 00:45:00+05:30,95.8,sensor,High,4
883da11515fffff,2021-01-10 00:45:00+05:30,112.7,sensor,High,4
883da11519fffff,2021-01-10 00:45:00+05:30,113.2,sensor,High,4
883da1151bfffff,2021-01-10 00:45:00+05:30,112.0,sensor,High,4
883da11539fffff,2021-01-10 00:45:00+05:30,107.8,sensor,High,3
883da1153bfffff,2021-01-10 00:45:00+05:30,114.6,sensor,High,4
883da11553fffff,2021-01-10 00:45:00+05:30,95.2,sensor,High,2
883da11581fffff,2021-01-10 00:45:00+05:30,141.5,sensor,High,2
883da11585fffff,2021-01-10 00:45:00+05:30,135.6,sensor,High,3
883da11589fffff,2021-01-10 00:45:00+05:30,124.0,sensor,High,4
883da1158bfffff,2021-01-10 00:45:00+05:30,145.0,sensor,Medium,1
883da1158dfffff,2021-01-10 00:45:00+05:30,125.2,sensor,High,4
883da115a9fffff,2021-01-10 00:45:00+05:30,135.1,sensor,High,3
883da115c1fffff,2021-01-10 00:45:00+05:30,123.9,sensor,High,4
883da115c5fffff,2021-01-10 00:45:00+05:30,134.6,sensor,High,4
883da115c7fffff,2021-01-10 00:45:00+05:30,127.2,sensor,High,4
883da115c9fffff,2021-01-10 00:45:00+05:30,119.8,sensor,High,4
883da115cbfffff,2021-01-10 00:45:00+05:30,121.6,sensor,High,4
883da115cdfffff,2021-01-10 00:45:00+05:30,117.9,sensor,High,4
883da115d5fffff,2021-01-10 00:45:00+05:30,145.0,sensor,Medium,1
883da115ddfffff,2021-01-10 00:45:00+05:30,145.0,sensor,Medium,1
883da115e1fffff,2021-01-10 00:45:00+05:30,122.6,sensor,High,4
883da115e3fffff,2021-01-10 00:45:00+05:30,124.0,sensor,High,4
883da115e7fffff,2021-01-10 00:45:00+05:30,121.5,sensor,High,4
883da115e9fffff,2021-01-10 00:45:00+05:30,121.4,sensor,High,4
883da115ebfffff,2021-01-10 00:45:00+05:30,129.5,sensor,High,4
883da115edfffff,2021-01-10 00:45:00+05:30,116.9,sensor,High,4
883da11421fffff,2021-01-10 01:00:00+05:30,104.1,sensor,High,3
883da11423fffff,2021-01-10 01:00:00+05:30,112.0,sensor,High,4
883da11425fffff,2021-01-10 01:00:00+05:30,108.8,sensor,High,4
883da11435fffff,2021-01-10 01:00:00+05:30,113.5,sensor,High,4
883da11503fffff,2021-01-10 01:00:00+05:30,102.7,sensor,High,3
883da11511fffff,2021-01-10 01:00:00+05:30,103.7,sensor,High,4
883da11513fffff,2021-01-10 01:00:00+05:30,89.8,sensor,High,4
883da11515fffff,2021-01-10 01:00:00+05:30,106.8,sensor,High,4
883da11519fffff,2021-01-10 01:00:00+05:30,107.2,sensor,High,4
883da1151bfffff,2021-01-10 01:00:00+05:30,106.0,sensor,High,4
883da11539fffff,2021-01-10 01:00:00+05:30,103.1,sensor,High,3
883da1153bfffff,2021-01-10 01:00:00+05:30,108.7,sensor,High,4
883da11553fffff,2021-01-10 01:00:00+05:30,91.5,sensor,High,2
883da11581fffff,2021-01-10 01:00:00+05:30,132.3,sensor,High,2
883da11585fffff,2021-01-10 01:00:00+05:30,128.6,sensor,High,3
883da11589fffff,2021-01-10 01:00:00+05:30,117.3,sensor,High,4
883da1158bfffff,2021-01-10 01:00:00+05:30,134.0,sensor,Medium,1
883da1158dfffff,2021-01-10 01:00:00+05:30,118.4,sensor,High,4
883da115a9fffff,2021-01-10 01:00:00+05:30,128.4,sensor,High,3
883da115c1fffff,2021-01-10 01:00:00+05:30,117.2,sensor,High,4
883da115c5fffff,2021-01-10 01:00:00+05:30,126.2,sensor,High,4
883da115c7fffff,2021-01-10 01:00:00+05:30,120.2,sensor,High,4
883da115c9fffff,2021-01-10 01:00:00+05:30,113.4,sensor,High,4
883da115cbfffff,2021-01-10 01:00:00+05:30,115.1,sensor,High,4
883da115cdfffff,2021-01-10 01:00:00+05:30,111.6,sensor,High,4
883da115d5fffff,2021-01-10 01:00:00+05:30,134.0,sensor,Medium,1
883da115ddfffff,2021-01-10 01:00:00+05:30,134.0,sensor,Medium,1
883da115e1fffff,2021-01-10 01:00:00+05:30,116.1,sensor,High,4
883da115e3fffff,2021-01-10 01:00:00+05:30,117.4,sensor,High,4
883da115e7fffff,2021-01-10 01:00:00+05:30,115.1,sensor,High,4
883da115e9fffff,2021-01-10 01:00:00+05:30,115.5,sensor,High,4
883da115ebfffff,2021-01-10 01:00:00+05:30,122.2,sensor,High,4
883da115edfffff,2021-01-10 01:00:00+05:30,110.9,sensor,High,4
883da11421fffff,2021-01-10 01:15:00+05:30,105.6,sensor,High,4
883da11423fffff,2021-01-10 01:15:00+05:30,106.5,sensor,High,4
883da11425fffff,2021-01-10 01:15:00+05:30,104.6,sensor,High,4
883da11435fffff,2021-01-10 01:15:00+05:30,107.2,sensor,High,4
883da11503fffff,2021-01-10 01:15:00+05:30,104.4,sensor,High,4
883da11511fffff,2021-01-10 01:15:00+05:30,101.2,sensor,High,4
883da11513fffff,2021-01-10 01:15:00+05:30,90.4,sensor,High,4
883da11515fffff,2021-01-10 01:15:00+05:30,103.3,sensor,High,4
883da11519fffff,2021-01-10 01:15:00+05:30,103.5,sensor,High,4
883da1151bfffff,2021-01-10 01:15:00+05:30,102.9,sensor,High,4
883da11539fffff,2021-01-10 01:15:00+05:30,104.7,sensor,High,4
883da1153bfffff,2021-01-10 01:15:00+05:30,104.6,sensor,High,4
883da11553fffff,2021-01-10 01:15:00+05:30,90.2,sensor,High,2
883da11581fffff,2021-01-10 01:15:00+05:30,121.8,sensor,High,2
883da11585fffff,2021-01-10 01:15:00+05:30,120.0,sensor,High,3
883da11589fffff,2021-01-10 01:15:00+05:30,108.9,sensor,High,4
883da1158dfffff,2021-01-10 01:15:00+05:30,109.4,sensor,High,4
883da115a9fffff,2021-01-10 01:15:00+05:30,120.0,sensor,High,3
883da115c1fffff,2021-01-10 01:15:00+05:30,109.1,sensor,High,4
883da115c5fffff,2021-01-10 01:15:00+05:30,113.4,sensor,High,4
883da115c7fffff,2021-01-10 01:15:00+05:30,110.1,sensor,High,4
883da115c9fffff,2021-01-10 01:15:00+05:30,107.3,sensor,High,4
883da115cbfffff,2021-01-10 01:15:00+05:30,108.0,sensor,High,4
883da115cdfffff,2021-01-10 01:15:00+05:30,106.8,sensor,High,4
883da115e1fffff,2021-01-10 01:15:00+05:30,108.9,sensor,High,4
883da115e3fffff,2021-01-10 01:15:00+05:30,109.1,sensor,High,4
883da115e7fffff,2021-01-10 01:15:00+05:30,108.1,sensor,High,4
883da115e9fffff,2021-01-10 01:15:00+05:30,110.6,sensor,High,4
